timestamp,j1_pos,j1_vel,j2_pos,j2_vel,j3_pos,j3_vel,j4_pos,j4_vel,j5_pos,j5_vel,j6_pos,j6_vel
17.1327,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0303278,0.0805855,0.256543,-0.139194
17.1347,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0307093,0.0805855,0.256162,-0.124542
17.1367,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0307093,0.0659332,0.256162,-0.10989
17.1387,-0.0455866,0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0307093,0.0512829,0.25578,-0.0952377
17.1407,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,-0.00732803,0.0307093,0.0512829,0.25578,-0.0952377
17.1427,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,-0.00732803,0.0310907,0.0512829,0.255399,-0.0805855
17.1446,-0.0455866,0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,-0.00732803,0.0310907,0.0512829,0.255017,-0.0952377
17.1465,-0.0455866,-0.00244236,0.0139236,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0310907,0.0512829,0.254636,-0.0952377
17.1485,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,-0.00732803,0.0314722,0.0512829,0.254636,-0.0952377
17.1502,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0314722,0.0512829,0.254254,-0.0952377
17.1523,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,-0.00732803,0.0314722,0.0512829,0.253873,-0.10989
17.1544,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0318537,0.0512829,0.253491,-0.0952377
17.1565,-0.0455866,-0.00244236,0.0135422,-0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0322351,0.0659332,0.253491,-0.0952377
17.1585,-0.0455866,0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0322351,0.0659332,0.25311,-0.0952377
17.1605,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0326166,0.0512829,0.252728,-0.0805855
17.1625,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.0219784,0.0326166,0.0659332,0.252728,-0.0659332
17.1645,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0326166,0.0512829,0.252728,-0.0659332
17.1665,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0326166,0.0366306,0.252347,-0.0512829
17.1685,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.0366306,0.252347,-0.0512829
17.1705,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.0219784,0.252347,-0.0366306
17.1726,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.0219784,0.251966,-0.0512829
17.1747,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.00732613,0.251966,-0.0366306
17.1768,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.0219784,0.251966,-0.0512829
17.1787,-0.0455866,0.00244236,0.0139236,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.0219784,0.251584,-0.0512829
17.1808,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.00732613,0.251584,-0.0512829
17.1827,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,-0.00732803,0.0329981,0.0219784,0.251203,-0.0512829
17.1848,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.00732613,0.251203,-0.0512829
17.1868,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.00732613,0.250821,-0.0512829
17.1887,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.00732613,0.250821,-0.0512829
17.1907,-0.0455866,-0.00244236,0.0139236,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.00732613,0.250821,-0.0512829
17.1927,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.00732613,0.250821,-0.0366306
17.1947,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.00732613,0.250821,-0.0512829
17.1968,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.00732613,0.250821,-0.0219784
17.1987,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.00732613,0.250821,-0.0219784
17.2007,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.0219784,0.0329981,0.00732613,0.250821,-0.00732613
17.2028,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.00732613,0.250821,-0.00732613
17.2048,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.00732613,0.250821,-0.00732613
17.2068,-0.0455866,-0.00732613,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,-0.00732803,0.0329981,0.00732613,0.250821,-0.00732613
17.2087,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.00732613,0.250821,-0.00732613
17.2107,-0.0455866,-0.00732613,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.0219784,0.0329981,0.00732613,0.250821,0.00732803
17.2127,-0.0455866,-0.00244236,0.0139236,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.00732613,0.250821,0.00732803
17.2148,-0.0455866,-0.00732613,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.00732613,0.250821,-0.00732613
17.2169,-0.0455866,-0.00732613,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.0219784,0.250821,0.00732803
17.2187,-0.0455866,-0.00732613,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.00732613,0.250821,-0.00732613
17.2207,-0.0455866,-0.00732613,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.00732613,0.250821,-0.00732613
17.223,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,-0.00732803,0.0329981,0.00732613,0.250821,-0.00732613
